iso3,region,year,population_total,population_female,population_male,life_expectancy,fertility_rate,birth_rate,death_rate,pop_growth_rate,sex_ratio,regional_dev_index,pop_diff
,LLDC: Europe,2010,5683.497,2990.437,2693.059,71.658,1.708,14.034,11.089,0,0,0,-83.3119999999999
,LLDC: Europe,2011,5597.712,2943.593,2654.118,71.903,1.645,13.422,11.18,0,0,0,-85.78499999999985
,LLDC: Europe,2012,5509.915,2895.677,2614.238,72.007,1.678,13.572,11.341,0,0,0,-87.79700000000048
,LLDC: Europe,2013,5422.017,2847.751,2574.266,72.17,1.65,13.196,11.338,0,0,0,-87.89800000000014
,LLDC: Europe,2014,5340.542,2805.622,2534.92,72.164,1.801,14.219,11.569,0,0,0,-81.47499999999945
,LLDC: Europe,2015,5267.53,2770.262,2497.269,72.091,1.827,14.115,11.924,0,0,0,-73.01200000000063
,LLDC: Europe,2016,5199.053,2737.323,2461.73,72.134,1.846,13.933,12.066,0,0,0,-68.47699999999986
,LLDC: Europe,2017,5134.376,2706.421,2427.954,72.463,1.77,13.035,12.096,0,0,0,-64.67699999999968
,LLDC: Europe,2018,5073.502,2677.356,2396.145,72.62,1.77,12.695,12.205,0,0,0,-60.87399999999979
,LLDC: Europe,2019,5010.203,2646.93,2363.273,72.569,1.721,12.034,12.571,0,0,0,-63.29899999999998
,LLDC: Europe,2020,4941.146,2613.86,2327.287,71.584,1.704,11.558,14.213,0,0,0,-69.0570000000007
,LLDC: Europe,2021,4874.886,2581.239,2293.647,70.57,1.69,11.122,15.973,0,0,0,-66.25999999999931
,No income group available,2017,31164.051,15669.597,15494.453,71.89,2.187,17.919,6.793,0,0,0,-187.2040000000015
,No income group available,2018,30419.427,15305.556,15113.871,72.619,2.155,17.321,6.68,0,0,0,-744.6239999999998
,No income group available,2019,29562.659,14883.792,14678.866,72.746,2.136,16.304,6.796,0,0,0,-856.768
,No income group available,2020,29079.895,14649.925,14429.97,72.362,2.121,15.556,7.188,0,0,0,-482.7639999999992
,No income group available,2021,28882.897,14559.657,14323.239,71.553,2.109,15.229,7.834,0,0,0,-196.9979999999996
,No income group available,2022,28868.667,14559.784,14308.882,72.566,2.092,15.027,7.33,0,0,0,-14.229999999999563
BDI,Burundi,1972,3617.128,1852.909,1764.218,25.777,7.21,48.803,40.362,0,0,0,-0.1610000000000582
BDI,Burundi,1973,3611.991,1852.379,1759.612,37.409,7.215,46.648,25.938,0,0,0,-5.137000000000171
BDI,Burundi,1993,5676.843,2883.394,2793.45,37.221,7.272,48.909,26.203,0,0,0,-181.5640000000003
BDI,Burundi,1997,6070.042,3082.084,2987.957,45.721,7.04,42.237,17.459,0,0,0,-0.4639999999999418
DJI,Djibouti,1992,626.01,315.181,310.829,54.375,5.751,39.873,12.762,0,0,0,-5.081999999999994
DJI,Djibouti,1993,614.245,309.317,304.928,55.734,5.638,37.125,11.393,0,0,0,-11.764999999999986
ERI,Eritrea,1991,1919.571,980.917,938.654,50.516,6.242,46.07,15.99,0,0,0,-113.16600000000015
ERI,Eritrea,1992,1798.748,918.752,879.996,52.436,6.156,42.304,13.705,0,0,0,-120.82299999999988
MWI,Malawi,1994,10164.894,5223.593,4941.301,43.8,6.488,48.413,21.316,0,0,0,-119.1299999999992
MWI,Malawi,1995,10150.117,5212.841,4937.276,43.804,6.392,46.836,20.556,0,0,0,-14.777000000000044
MUS,Mauritius,2016,1291.803,643.601,648.202,74.85,1.352,10.217,7.399,0,0,0,-0.47199999999998
MUS,Mauritius,2017,1290.655,642.951,647.704,75.024,1.395,10.51,7.514,0,0,0,-1.1480000000001382
MUS,Mauritius,2018,1288.833,642.008,646.826,74.491,1.365,10.247,8.0,0,0,0,-1.821999999999889
MUS,Mauritius,2019,1286.27,640.782,645.489,74.181,1.351,10.118,8.358,0,0,0,-2.563000000000102
MUS,Mauritius,2020,1283.223,639.446,643.778,74.657,1.387,10.384,8.252,0,0,0,-3.0470000000000255
MUS,Mauritius,2021,1279.623,638.016,641.607,72.903,1.353,10.123,9.9,0,0,0,-3.599999999999909
MUS,Mauritius,2022,1276.13,637.13,638.999,73.544,1.27,9.504,9.597,0,0,0,-3.492999999999938
MUS,Mauritius,2023,1273.588,637.009,636.58,74.926,1.241,9.268,8.734,0,0,0,-2.5420000000001437
MOZ,Mozambique,1988,12800.558,6645.26,6155.298,43.691,6.367,48.591,21.289,0,0,0,-22.01599999999962
REU,Réunion,2012,845.058,442.704,402.355,81.349,2.229,16.424,4.519,0,0,0,-1.7240000000000464
REU,Réunion,2016,862.86,452.844,410.015,82.028,2.219,15.333,4.903,0,0,0,-2.15199999999993
REU,Réunion,2017,858.754,448.353,410.401,82.127,2.226,15.094,5.047,0,0,0,-4.1059999999999945
REU,Réunion,2018,856.942,447.161,409.781,82.198,2.165,14.092,5.219,0,0,0,-1.812000000000012
RWA,Rwanda,1994,6792.352,3465.802,3326.551,12.158,6.415,48.038,153.963,0,0,0,-1188.7799999999995
RWA,Rwanda,1995,5674.118,2955.472,2718.646,41.518,6.345,39.517,18.168,0,0,0,-1118.2339999999997
SOM,Somalia,1989,7114.817,3563.966,3550.851,46.648,7.424,50.38,18.72,0,0,0,-120.54299999999968
SOM,Somalia,1990,7082.811,3551.91,3530.902,46.896,7.44,50.255,18.465,0,0,0,-32.00600000000031
SOM,Somalia,1991,6813.76,3421.318,3392.442,25.418,7.47,51.9,44.114,0,0,0,-269.0509999999995
SOM,Somalia,1992,6495.107,3264.687,3230.42,25.034,7.5,51.489,42.637,0,0,0,-318.65300000000025
SSD,South Sudan,1988,4848.029,2480.832,2367.197,10.989,7.376,51.863,77.739,0,0,0,-114.366
SSD,South Sudan,1989,4713.229,2413.36,2299.868,28.217,7.374,53.111,35.345,0,0,0,-134.80000000000018
SSD,South Sudan,2015,11107.561,5613.458,5494.104,39.757,4.695,35.407,22.034,0,0,0,-127.51200000000064
SSD,South Sudan,2016,10830.102,5483.257,5346.845,36.72,4.579,35.052,24.844,0,0,0,-277.4589999999989
SSD,South Sudan,2017,10259.154,5207.243,5051.91,35.351,4.483,32.802,25.765,0,0,0,-570.9480000000003
SSD,South Sudan,2018,10122.977,5144.748,4978.229,51.905,4.37,29.068,12.423,0,0,0,-136.17699999999968
CAF,Central African Republic,2009,4529.047,2278.515,2250.532,14.665,5.936,43.644,72.483,0,0,0,-29.937000000000808
CAF,Central African Republic,2010,4492.995,2284.122,2208.874,46.871,5.963,44.961,15.907,0,0,0,-36.05199999999968
CAF,Central African Republic,2014,4623.182,2354.7,2268.482,40.265,6.099,44.647,21.406,0,0,0,-19.23700000000008
CAF,Central African Republic,2022,5098.039,2641.776,2456.263,18.818,6.023,45.425,55.126,0,0,0,-14.061000000000604
GNQ,Equatorial Guinea,1970,320.803,164.719,156.084,31.086,5.808,42.158,33.694,0,0,0,-1.7139999999999986
GNQ,Equatorial Guinea,1971,315.94,162.453,153.487,37.229,5.808,42.644,27.381,0,0,0,-4.8629999999999995
GNQ,Equatorial Guinea,1972,309.468,159.21,150.257,44.441,5.805,42.987,21.753,0,0,0,-6.47199999999998
GNQ,Equatorial Guinea,1973,302.281,155.528,146.754,44.658,5.8,43.124,21.595,0,0,0,-7.187000000000012
GNQ,Equatorial Guinea,1974,294.953,151.793,143.16,41.486,5.795,43.162,23.846,0,0,0,-7.328000000000031
GNQ,Equatorial Guinea,1975,287.901,148.259,139.643,37.32,5.791,43.152,27.245,0,0,0,-7.051999999999964
GNQ,Equatorial Guinea,1976,281.031,144.915,136.116,30.537,5.791,43.143,34.422,0,0,0,-6.8700000000000045
GNQ,Equatorial Guinea,1977,276.779,142.867,133.912,42.008,5.795,43.11,23.056,0,0,0,-4.2520000000000095
GNQ,Equatorial Guinea,1978,276.531,142.762,133.768,42.331,5.804,43.031,22.655,0,0,0,-0.2479999999999904
LBY,Libya,1983,3718.961,1690.622,2028.338,66.26,6.91,38.962,6.108,0,0,0,-5.804000000000087
LBY,Libya,2011,6343.203,3092.139,3251.064,69.95,2.646,24.905,5.827,0,0,0,-154.6359999999995
LBY,Libya,2012,6179.328,3011.504,3167.823,72.188,2.68,22.587,4.971,0,0,0,-163.875
ESH,Western Sahara,1972,78.249,33.738,44.511,43.541,6.285,41.036,20.408,0,0,0,-0.4720000000000084
ESH,Western Sahara,1973,77.646,34.555,43.091,44.208,6.252,40.855,19.88,0,0,0,-0.6029999999999944
ESH,Western Sahara,1974,76.478,34.635,41.843,44.951,6.223,41.25,19.272,0,0,0,-1.1680000000000064
ESH,Western Sahara,1975,66.889,30.545,36.344,35.957,6.202,46.465,29.446,0,0,0,-9.589
ESH,Western Sahara,1976,64.489,29.826,34.663,36.264,6.18,37.622,23.117,0,0,0,-2.3999999999999915
SWZ,Eswatini,1994,971.212,498.947,472.266,56.643,4.662,37.33,9.836,0,0,0,-0.1059999999999945
SWZ,Eswatini,1995,970.433,498.388,472.046,55.08,4.523,33.978,10.248,0,0,0,-0.7789999999999964
LSO,Lesotho,2001,2000.853,1027.816,973.037,47.153,3.63,28.716,17.126,0,0,0,-3.0599999999999454
LSO,Lesotho,2002,1994.679,1024.685,969.995,45.95,3.682,29.365,18.198,0,0,0,-6.173999999999978
LSO,Lesotho,2003,1985.059,1019.767,965.292,44.921,3.619,29.294,19.152,0,0,0,-9.620000000000118
LSO,Lesotho,2004,1971.129,1012.751,958.378,44.039,3.508,28.736,19.974,0,0,0,-13.930000000000064
LSO,Lesotho,2005,1953.076,1003.737,949.339,43.611,3.428,28.561,20.455,0,0,0,-18.052999999999884
LSO,Lesotho,2006,1945.063,999.589,945.473,43.182,3.414,28.627,20.795,0,0,0,-8.01299999999992
GNB,Guinea-Bissau,1964,588.543,295.514,293.029,35.807,5.961,44.019,28.747,0,0,0,-5.875
GNB,Guinea-Bissau,1965,575.005,289.547,285.459,35.92,5.971,41.937,28.39,0,0,0,-13.538000000000013
GNB,Guinea-Bissau,1966,566.908,286.267,280.64,36.083,5.982,39.97,27.702,0,0,0,-8.09699999999998
LBR,Liberia,1990,2223.667,1112.502,1111.165,37.644,6.37,52.919,29.188,0,0,0,-294.19100000000026
LBR,Liberia,1991,1956.518,982.784,973.734,43.575,6.323,44.621,20.381,0,0,0,-267.1489999999999
LBR,Liberia,1994,2149.928,1082.699,1067.229,42.621,6.21,46.153,21.919,0,0,0,-5.19800000000032
SHN,Saint Helena,1955,5.308,2.744,2.564,67.215,5.467,32.798,10.584,0,0,0,-0.0110000000000001
SHN,Saint Helena,1956,5.296,2.755,2.542,67.38,5.436,31.313,10.279,0,0,0,-0.0119999999999995
SHN,Saint Helena,1988,6.686,3.432,3.255,71.184,2.25,19.748,9.28,0,0,0,-0.0129999999999999
SHN,Saint Helena,1989,6.655,3.402,3.252,71.339,2.209,19.537,9.194,0,0,0,-0.0309999999999996
SHN,Saint Helena,1990,6.617,3.373,3.244,71.543,2.144,18.998,9.103,0,0,0,-0.0380000000000002
SHN,Saint Helena,1991,6.572,3.342,3.231,71.635,2.082,18.38,9.105,0,0,0,-0.0449999999999999
SHN,Saint Helena,1992,6.524,3.305,3.219,72.116,2.023,17.679,8.939,0,0,0,-0.048
SHN,Saint Helena,1993,6.473,3.264,3.209,72.251,1.954,16.818,8.93,0,0,0,-0.0510000000000001
SHN,Saint Helena,1994,6.412,3.219,3.194,72.593,1.881,15.856,8.931,0,0,0,-0.0609999999999999
SHN,Saint Helena,1995,6.348,3.173,3.176,73.196,1.829,15.021,8.688,0,0,0,-0.064
SHN,Saint Helena,1996,6.287,3.131,3.156,73.683,1.771,14.113,8.649,0,0,0,-0.0609999999999999
SHN,Saint Helena,1997,6.224,3.087,3.137,74.357,1.748,13.498,8.61,0,0,0,-0.0629999999999997
SHN,Saint Helena,1998,6.159,3.043,3.115,75.325,1.724,12.915,8.387,0,0,0,-0.0650000000000003
SHN,Saint Helena,1999,6.09,3.005,3.086,76.04,1.705,12.648,8.134,0,0,0,-0.0689999999999999
SHN,Saint Helena,2000,6.016,2.967,3.05,75.754,1.68,12.357,8.608,0,0,0,-0.0739999999999998
SHN,Saint Helena,2001,5.938,2.926,3.011,76.062,1.647,11.917,8.678,0,0,0,-0.0780000000000002
SHN,Saint Helena,2002,5.85,2.879,2.971,75.83,1.621,11.47,9.226,0,0,0,-0.088
SHN,Saint Helena,2003,5.753,2.83,2.922,76.372,1.603,10.998,9.211,0,0,0,-0.0969999999999995
SHN,Saint Helena,2004,5.651,2.782,2.869,77.131,1.59,10.496,9.038,0,0,0,-0.1020000000000003
SHN,Saint Helena,2005,5.543,2.726,2.817,77.166,1.593,10.063,9.513,0,0,0,-0.1079999999999996
SHN,Saint Helena,2006,5.433,2.668,2.765,76.82,1.599,9.609,10.299,0,0,0,-0.1100000000000003
SHN,Saint Helena,2007,5.322,2.611,2.711,75.733,1.607,9.145,11.807,0,0,0,-0.1109999999999997
SHN,Saint Helena,2008,5.272,2.578,2.695,75.793,1.616,8.566,12.24,0,0,0,-0.0499999999999998
SHN,Saint Helena,2017,5.501,2.624,2.877,76.335,1.694,8.644,13.544,0,0,0,-0.016
SHN,Saint Helena,2018,5.481,2.642,2.84,76.403,1.681,8.428,14.1,0,0,0,-0.0200000000000004
SHN,Saint Helena,2019,5.458,2.661,2.797,76.682,1.668,8.182,14.507,0,0,0,-0.0229999999999996
SHN,Saint Helena,2020,5.43,2.676,2.755,76.892,1.656,7.934,15.072,0,0,0,-0.0280000000000004
SHN,Saint Helena,2021,5.39,2.674,2.716,76.765,1.645,7.682,16.156,0,0,0,-0.04
SHN,Saint Helena,2022,5.343,2.658,2.685,76.735,1.637,7.481,16.474,0,0,0,-0.0469999999999997
SHN,Saint Helena,2023,5.289,2.64,2.648,76.787,1.636,7.344,16.839,0,0,0,-0.0540000000000002
SLE,Sierra Leone,1992,4166.366,2111.455,2054.911,43.451,6.555,46.988,22.206,0,0,0,-79.90099999999984
SLE,Sierra Leone,1993,4157.13,2106.214,2050.916,43.428,6.569,46.946,22.093,0,0,0,-9.235999999999876
TGO,Togo,1993,4207.453,2116.852,2090.602,53.852,5.782,41.704,13.198,0,0,0,-26.16399999999976
KAZ,Kazakhstan,1993,17274.487,8972.08,8302.407,64.538,2.483,20.531,9.784,0,0,0,-58.13799999999901
KAZ,Kazakhstan,1994,17043.771,8860.336,8183.435,64.108,2.378,19.797,10.079,0,0,0,-230.71600000000035
KAZ,Kazakhstan,1995,16730.536,8709.192,8021.343,63.717,2.253,18.722,10.311,0,0,0,-313.2350000000006
KAZ,Kazakhstan,1996,16416.027,8564.063,7851.965,63.455,2.084,17.368,10.522,0,0,0,-314.50900000000183
KAZ,Kazakhstan,1997,16043.251,8397.656,7645.594,63.318,1.97,16.479,10.696,0,0,0,-372.775999999998
KAZ,Kazakhstan,1998,15647.785,8221.77,7426.016,63.349,1.938,16.288,10.809,0,0,0,-395.4660000000003
KAZ,Kazakhstan,1999,15455.874,8139.609,7316.265,63.528,1.902,15.838,10.692,0,0,0,-191.9110000000001
,Eastern Asia,2021,1665274.546,819824.493,845450.053,79.011,1.122,7.301,7.861,0,0,0,-258.4299999999348
,Eastern Asia,2022,1663264.901,819304.478,843960.424,78.989,1.047,6.67,8.15,0,0,0,-2009.6450000000184
,Eastern Asia,2023,1660028.546,818265.091,841763.455,78.886,1.012,6.308,8.492,0,0,0,-3236.3549999999814
CHN,China,2022,1425179.569,698088.664,727090.905,78.202,1.034,6.634,7.717,0,0,0,-1257.6980000000913
CHN,China,2023,1422584.933,697361.644,725223.289,77.953,0.999,6.256,8.213,0,0,0,-2594.6359999999404
HKG,"China, Hong Kong SAR",1961,3076.657,1509.078,1567.58,66.866,5.169,37.124,6.391,0,0,0,-18.182999999999993
HKG,"China, Hong Kong SAR",1962,2889.084,1416.31,1472.775,67.311,5.177,34.552,6.179,0,0,0,-187.57300000000032
HKG,"China, Hong Kong SAR",1963,2662.601,1304.781,1357.821,68.022,5.152,31.011,5.605,0,0,0,-226.48299999999972
HKG,"China, Hong Kong SAR",1967,3474.128,1710.954,1763.174,69.931,4.123,37.367,5.659,0,0,0,-541.174
HKG,"China, Hong Kong SAR",1968,3065.327,1508.31,1557.017,70.693,3.783,14.816,4.012,0,0,0,-408.80099999999993
HKG,"China, Hong Kong SAR",2021,7484.601,4107.551,3377.05,85.082,0.778,6.401,7.322,0,0,0,-5.6340000000000146
HKG,"China, Hong Kong SAR",2022,7465.915,4098.05,3367.865,83.485,0.708,5.668,8.832,0,0,0,-18.685999999999694
HKG,"China, Hong Kong SAR",2023,7442.734,4087.615,3355.119,85.511,0.717,5.548,7.684,0,0,0,-23.180999999999585
MAC,"China, Macao SAR",1953,199.588,97.827,101.76,59.746,5.396,43.39,10.965,0,0,0,-0.8130000000000166
MAC,"China, Macao SAR",1954,197.868,97.37,100.498,60.254,5.337,41.977,10.716,0,0,0,-1.7199999999999989
MAC,"China, Macao SAR",1955,195.442,96.57,98.873,60.731,5.264,40.471,10.497,0,0,0,-2.4259999999999877
MAC,"China, Macao SAR",1956,192.179,95.278,96.9,60.951,5.181,38.913,10.465,0,0,0,-3.2630000000000052
MAC,"China, Macao SAR",1957,188.189,93.671,94.517,62.465,5.092,37.315,9.673,0,0,0,-3.990000000000009
MAC,"China, Macao SAR",1958,183.668,91.874,91.794,63.154,4.997,35.678,9.447,0,0,0,-4.520999999999987
MAC,"China, Macao SAR",1959,178.425,89.712,88.713,63.683,4.926,34.194,9.355,0,0,0,-5.242999999999995
MAC,"China, Macao SAR",1960,173.315,87.826,85.49,63.935,4.957,33.335,9.455,0,0,0,-5.110000000000014
MAC,"China, Macao SAR",1966,262.942,129.437,133.506,66.791,3.317,15.012,6.095,0,0,0,-2.6889999999999645
MAC,"China, Macao SAR",1967,260.423,128.089,132.334,67.404,3.014,13.853,5.875,0,0,0,-2.5190000000000055
MAC,"China, Macao SAR",1968,257.933,126.737,131.196,68.021,2.608,12.217,5.702,0,0,0,-2.490000000000009
MAC,"China, Macao SAR",1969,255.306,125.284,130.023,68.268,2.307,11.11,5.746,0,0,0,-2.626999999999981
MAC,"China, Macao SAR",1973,250.324,127.56,122.764,70.093,1.843,14.664,4.968,0,0,0,-22.85699999999997
MAC,"China, Macao SAR",1974,221.387,119.232,102.155,71.004,1.731,3.519,11.335,0,0,0,-28.937000000000012
TWN,"China, Taiwan Province of China",2020,23663.459,11914.031,11749.427,81.107,0.99,6.822,7.363,0,0,0,-10.679000000000087
TWN,"China, Taiwan Province of China",2021,23558.333,11867.472,11690.86,80.785,0.975,6.611,7.905,0,0,0,-105.1260000000002
TWN,"China, Taiwan Province of China",2022,23420.111,11804.536,11615.575,80.157,0.87,5.785,8.999,0,0,0,-138.22199999999793
TWN,"China, Taiwan Province of China",2023,23317.145,11763.514,11553.63,80.559,0.87,5.678,8.806,0,0,0,-102.96600000000036
PRK,Dem. People's Republic of Korea,1951,10583.568,5836.213,4747.355,17.663,2.597,22.95,55.824,0,0,0,-533.1680000000015
PRK,Dem. People's Republic of Korea,1952,10253.642,5718.826,4534.816,32.791,2.611,23.769,25.686,0,0,0,-329.9259999999995
PRK,Dem. People's Republic of Korea,1953,10177.413,5691.859,4485.554,40.256,3.082,28.253,19.103,0,0,0,-76.22899999999936
JPN,Japan,2010,128185.275,65479.177,62706.099,82.916,1.357,8.352,9.639,0,0,0,-7.195000000006985
JPN,Japan,2011,128096.432,65454.816,62641.616,82.671,1.363,8.202,10.093,0,0,0,-88.84299999999348
JPN,Japan,2012,127928.285,65379.503,62548.782,83.168,1.376,8.108,10.137,0,0,0,-168.1469999999972
JPN,Japan,2013,127723.645,65285.76,62437.886,83.402,1.389,8.013,10.237,0,0,0,-204.63999999999945
JPN,Japan,2014,127486.605,65175.094,62311.51,83.643,1.388,7.832,10.3,0,0,0,-237.04000000000815
JPN,Japan,2015,127275.872,65071.433,62204.439,83.883,1.415,7.816,10.44,0,0,0,-210.7329999999929
JPN,Japan,2016,127159.951,65013.224,62146.727,84.057,1.408,7.612,10.613,0,0,0,-115.9210000000021
JPN,Japan,2017,127064.69,64969.707,62094.983,84.189,1.39,7.378,10.889,0,0,0,-95.2609999999986
JPN,Japan,2018,126913.432,64897.017,62016.416,84.289,1.373,7.178,11.113,0,0,0,-151.25800000000163
JPN,Japan,2019,126699.424,64791.067,61908.356,84.418,1.323,6.825,11.303,0,0,0,-214.00800000000163
JPN,Japan,2020,126304.543,64600.334,61704.209,84.67,1.304,6.656,11.269,0,0,0,-394.88099999999395
JPN,Japan,2021,125679.338,64300.226,61379.113,84.55,1.275,6.45,11.819,0,0,0,-625.2050000000017
JPN,Japan,2022,124997.578,63971.109,61026.469,84.054,1.256,6.293,12.923,0,0,0,-681.7600000000093
JPN,Japan,2023,124370.947,63670.971,60699.976,84.712,1.208,6.029,12.257,0,0,0,-626.630999999994
KOR,Republic of Korea,2021,51848.397,25972.166,25876.232,83.852,0.783,5.001,6.327,0,0,0,-10.085000000006405
KOR,Republic of Korea,2022,51782.512,25941.857,25840.655,82.727,0.78,4.955,7.544,0,0,0,-65.88499999999476
KOR,Republic of Korea,2023,51748.739,25916.88,25831.859,84.329,0.72,4.568,6.677,0,0,0,-33.77300000000105
